Crimes,January,February,March,April,May,June,July,August,September,October,November,December
Murder,1,0,0,2,1,0,0,0,0,0,0,0
Homicide,0,1,0,0,0,0,0,1,0,1,0,2
Physical Injury,32,14,17,19,17,24,16,13,7,3,5,7
Rape,2,3,3,3,4,2,2,1,1,0,0,1
Rape w/Homicide,0,0,0,0,0,0,0,0,0,0,0,0
Kidnapping w/Homicide,0,0,0,0,0,0,0,0,0,0,0,0
Kidnapping w/Rape,0,0,0,0,0,0,0,0,0,0,0,0
Robbery,4,2,0,2,0,1,3,1,2,1,3,4
Robbery w/Homicide,0,0,0,0,0,0,0,0,0,0,0,0
Robbery w/Rape,0,0,0,0,0,0,0,0,0,0,0,0
Robbery w/Serious Physical Injuries,0,0,0,0,0,0,0,0,0,0,0,0
Robbery w/Arson,0,0,0,0,0,0,0,0,0,0,0,0
Robbery in Band,0,0,0,0,0,0,0,0,0,0,0,0
Theft,41,16,19,33,21,20,15,12,6,5,11,3
Carnapping MV,0,0,0,0,0,0,0,0,0,0,0,0
Carnapping MC,3,2,3,2,4,4,4,0,4,1,2,0
Carnapping Occupant is Killed/Raped MV,0,0,0,0,0,0,0,0,0,0,0,0
Carnapping Occupant is Killed/Raped MC,0,0,0,0,0,0,0,0,0,0,0,0
Arson w/Homicide,0,0,0,0,0,0,0,0,0,0,0,0
Acts of Lasciviousness,1,1,1,0,0,3,0,2,1,0,1,1
Adultery,0,0,0,0,0,0,0,0,0,0,0,0
Alarms & Scandals,23,8,10,20,19,14,7,4,6,5,0,2
Corruption of Public Official,0,0,0,0,0,0,0,0,0,0,0,0
Direct Assaults,0,0,1,1,0,0,1,1,0,2,0,1
Grave Threats,0,1,1,0,2,0,0,1,0,0,0,0
Frust/Attemp Anti-Child Abuse Law,0,0,0,1,0,1,0,0,0,0,0,0
Frust/Attemp Anti-VAWC Act 2004,0,0,0,0,0,0,0,0,0,0,0,0
Frust/Attemp Homicide,1,1,0,2,1,1,0,0,2,0,2,3
Frust/Attemp Parricide,0,0,0,0,0,0,0,0,0,0,0,0
